total_kills,target,league,league_mean_kills,mean_total_kills_t1,mean_total_kills_t2,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2
26,0,NLC,32.95673076923077,30.267857142857142,31.357142857142858,0.848657229316764,0.6017007159043573,0.5389634199095568,-0.5429342414812517,-0.6846922688699593,-0.3873551209826367,0.46100413175601673,-0.37767264106295784,0.5242238058008439,-0.7325665817216667
32,0,PRM,32.617747440273035,33.38095238095238,31.0,0.6303717191188873,0.0,0.0,0.0,0.0,-0.45679640886142536,-0.37767264106295784,0.6062151223801955,1.3285426964776796,-0.7325665817216667
41,1,PRM,32.617747440273035,31.0,33.38095238095238,-0.9693097778453819,0.0,0.0,-0.5429342414812517,0.0,-0.3873551209826367,0.0,0.6662175141524997,0.0,-0.859475996617153
44,1,LCKC,30.83266932270916,31.07894736842105,29.742268041237114,0.848657229316764,-0.45679640886142536,0.32753807521989486,1.514530654879433,-0.7617602605765441,1.3229103360066112,-0.657179183981043,0.0,-0.921677589708203,1.6828904338588373
27,0,LCKC,30.83266932270916,30.3125,34.135416666666664,-1.3603132380529956,0.0,0.32753807521989486,0.5389634199095568,0.8962885229138884,-0.7617602605765441,0.46100413175601673,0.4429461064722737,-1.6059388975783797,1.2372613973041773
26,0,LCKC,30.83266932270916,30.589285714285715,31.178571428571427,0.848657229316764,0.0,0.5389634199095568,-0.5784372716376573,0.8962885229138884,-0.6846922688699593,-1.4516505402372957,-0.37767264106295784,1.6828904338588373,0.5242238058008439
55,1,LCKC,30.83266932270916,29.742268041237114,31.07894736842105,-1.3603132380529956,0.0,0.0,0.0,0.8962885229138884,-0.3873551209826367,-2.3910915340261134,-0.37767264106295784,1.2372613973041773,0.5242238058008439
25,0,LCKC,30.83266932270916,30.589285714285715,31.178571428571427,-0.45679640886142536,-1.3603132380529956,-0.5429342414812517,0.32753807521989486,-0.3873551209826367,0.0,0.6062151223801955,0.0,-0.7325665817216667,1.2372613973041773
33,1,LCKC,30.83266932270916,30.3125,34.135416666666664,0.848657229316764,0.6303717191188873,0.0,0.0,-0.3873551209826367,0.0,-0.37767264106295784,0.6062151223801955,-0.921677589708203,-0.7325665817216667
26,0,LCKC,30.83266932270916,31.178571428571427,30.589285714285715,0.0,-0.5037518269163179,0.0,0.0,0.0,0.0,0.6662175141524997,-2.3910915340261134,-0.921677589708203,0.0
30,1,LCK,28.729323308270676,27.466165413533833,26.86,0.0,-0.5037518269163179,0.32753807521989486,0.0,0.0,-0.3873551209826367,0.46100413175601673,0.6062151223801955,-2.8372782767203404,0.5242238058008439
33,1,LPL,29.81377551020408,28.375,28.41176470588235,-1.3603132380529956,-0.45679640886142536,0.32753807521989486,0.5389634199095568,0.0,0.0,0.46100413175601673,0.6062151223801955,-0.921677589708203,-0.7325665817216667
21,0,LPL,29.81377551020408,28.41176470588235,28.375,0.0,0.6303717191188873,-2.5193524035913306,0.0,0.0,0.0,-0.37767264106295784,0.0,0.0,0.5242238058008439
36,1,LCK,28.729323308270676,30.030075187969924,29.775862068965516,-1.3603132380529956,0.0,-0.9693097778453819,0.5389634199095568,-0.6846922688699593,0.0,-0.657179183981043,0.4429461064722737,-0.869088805005461,1.6828904338588373
32,1,LPL,29.81377551020408,28.375,28.41176470588235,-0.9693097778453819,0.0,0.0,-0.5429342414812517,0.0,0.0,-0.657179183981043,-1.4516505402372957,1.2372613973041773,1.6828904338588373
14,0,LCK,28.729323308270676,29.775862068965516,30.030075187969924,0.848657229316764,0.0,-0.5784372716376573,0.32753807521989486,0.0,-0.3873551209826367,-0.49723555074234227,-2.3910915340261134,-1.7709689030339177,0.0
15,0,LPL,29.81377551020408,28.41176470588235,28.375,3.5328215094521447,-0.6403120432933953,-0.5784372716376573,-0.9208904100982842,-0.6846922688699593,2.2162105841455677,3.5628065169483953,0.4429461064722737,-2.8372782767203404,1.3285426964776796
27,0,LPL,29.81377551020408,28.375,28.41176470588235,0.6017007159043573,3.4435148114497984,-0.869088805005461,1.514530654879433,0.0,1.3229103360066112,-0.49723555074234227,0.6662175141524997,-1.7709689030339177,-1.7139176209826381
