total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won_bet,profit_bet,prob_under,aposta_vencedora,lucro_aposta,probabilidade_under,valor_esperado,recomendado_modelo
24,36.1413612565445,EBL,31.58620689655172,35.189655172413794,under,33.5,won,1.83,22.0,0.0,0.0,0.0,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,-1.2403757694101287,0.0,-3.700805908305771,0.4654990225793156,1,0.8300000000000001,0.732125240779054,1,0.8300000000000001,0.732125240779054,0.3397891906256689,True
30,30.59057971014493,NACL,31.32758620689655,27.07843137254902,under,28.5,lost,1.83,30.0,0.5609560677137821,0.0,0.0,-1.9946898409830425,0.0,0.0,-0.468056459937813,0.5231029362444133,-1.1261807448375052,-1.7642883932950577,0,-1.0,0.7315616438044009,0,-1.0,0.7315616438044009,0.3387578081620537,True
26,27.14814814814815,LEC,29.153846153846157,26.66304347826087,under,25.5,lost,1.83,26.0,0.0,0.0,-0.7760435577368519,0.0,-1.1986585288014666,-1.9393307422504515,-0.8113044475574895,-0.913098065074376,-0.9659723665617116,1.7827561319782248,0,-1.0,0.7287791428671451,0,-1.0,0.7287791428671451,0.33366583144687556,True
29,28.83148148148148,LCK,29.76068376068376,28.091603053435115,under,29.5,won,1.83,29.0,-1.5721442954792302,0.0,0.0,0.0,-1.0617142411045393,0.0,-0.8113044475574895,-1.2403757694101287,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.7273278125946051,1,0.8300000000000001,0.7273278125946051,0.33100989704812744,True
19,27.25563909774436,LCP,27.753846153846155,30.5,under,25.5,won,1.83,19.0,0.5609560677137821,0.0,-1.0332368361565436,-0.7760435577368519,-1.234138311281054,0.0,0.0,-1.0421821869666132,-1.7642883932950577,0.0,1,0.8300000000000001,0.7226621853419001,1,0.8300000000000001,0.7226621853419001,0.32247179917567714,True
13,30.59057971014493,NACL,31.5,27.07843137254902,under,32.5,won,1.83,13.0,-1.5721442954792302,0.0,0.0,-0.64039106873566,0.0,0.6655385399034301,0.0,0.0,-2.2426813296105834,-0.6816806276591585,1,0.8300000000000001,0.7224524555315507,1,0.8300000000000001,0.7224524555315507,0.32208799362273777,True
21,27.14814814814815,LEC,26.5,30.5,under,25.5,won,1.83,21.0,0.0,0.0,-0.64039106873566,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,-0.913098065074376,-0.468056459937813,-1.1261807448375052,1.7827561319782248,1,0.8300000000000001,0.7217130071698606,1,0.8300000000000001,0.7217130071698606,0.320734803120845,True
21,29.229559748427672,LFL,25.97647058823529,26.232558139534884,under,27.5,won,1.83,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0421821869666132,0.5231029362444133,0.0,-2.2426813296105834,1,0.8300000000000001,0.7138758869489455,1,0.8300000000000001,0.7138758869489455,0.3063928731165704,True
34,29.229559748427672,LFL,28.729166666666668,29.44155844155844,under,31.5,lost,1.83,34.0,0.0,0.0,0.0,-0.6320467219229506,0.6655385399034301,-1.0617142411045393,-0.913098065074376,0.5231029362444133,-1.1261807448375052,-1.078880905409381,0,-1.0,0.7137478210295861,0,-1.0,0.7137478210295861,0.3061585124841426,True
22,30.07286432160804,LPL,29.01020408163265,26.4,under,27.5,won,1.83,22.0,0.5609560677137821,0.0,0.0,0.0,-0.8095983863874423,-1.0617142411045393,0.0,-0.913098065074376,-0.9659723665617116,-1.1261807448375052,1,0.8300000000000001,0.7100707202440867,1,0.8300000000000001,0.7100707202440867,0.29942941804667866,True
17,27.25563909774436,LCP,27.73684210526316,25.638297872340427,under,26.5,won,1.83,17.0,-1.155716943849221,0.0,-1.0332368361565436,1.0984264443831435,-1.1986585288014666,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263,1,0.8300000000000001,0.708684125314308,1,0.8300000000000001,0.708684125314308,0.2968919493251837,True
26,27.14814814814815,LEC,27.19298245614035,29.153846153846157,under,30.5,won,1.83,26.0,0.0,-1.155716943849221,-0.64039106873566,-1.0332368361565436,-0.8095983863874423,0.0,0.5231029362444133,0.0,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.7066865892036596,1,0.8300000000000001,0.7066865892036596,0.29323645824269706,True
14,27.14814814814815,LEC,26.27027027027027,25.39,under,22.5,won,1.83,14.0,0.0,0.0,0.0,-1.9946898409830425,0.0,1.2815801036603958,0.0,-0.468056459937813,0.0,-1.078880905409381,1,0.8300000000000001,0.7051527553698114,1,0.8300000000000001,0.7051527553698114,0.2904295423267549,True
