league,year,date,game,patch,side,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,kills_t2,market_name,selection_line,bet_line,bet_value,bet_type,event_id,bet_status,house_odds,home_score,away_score,actual_value,gamelength,total_kills,result_t1,matched_map,matching_score
CD,2025,2025-06-02 17:00:00,RED Academy vs Vivo Keyd Stars Academy,15.11,Blue,RED Academy,Vivo Keyd Stars Academy,Rumble,Naafiri,Orianna,Xayah,Rakan,Jayce,Sejuani,Akali,Jhin,Rell,26,Map 2 - Totals,Over Total Kills,over,29.5,kills,75fff14b49f6369e1915,won,1.83,0,0,39.0,29.5,39,0,2,HIGH
VCS,2025,2025-06-03 07:00:00,SN CyberCore Esports vs Never Give Up,15.1,Blue,SN CyberCore Esports,Never Give Up,Gwen,Vi,Ahri,Senna,Braum,Rumble,Xin Zhao,Annie,Jhin,Bard,9,Map 1 - Totals,Over Total Kills,over,32.5,kills,c5b16dfb833dae37cf79,won,1.83,0,0,37.0,28.18,37,1,1,HIGH
VCS,2025,2025-06-03 07:00:00,SN CyberCore Esports vs Never Give Up,15.1,Blue,SN CyberCore Esports,Never Give Up,Sion,Wukong,Orianna,Kai'Sa,Neeko,Jayce,Naafiri,Galio,Sivir,Rell,4,Map 2 - Totals,Over Total Kills,over,32.5,kills,c5b16dfb833dae37cf79,lost,1.83,0,0,28.0,27.87,28,1,2,HIGH
LPL,2025,2025-06-04 06:00:00,FunPlus Phoenix vs Invictus Gaming,15.11,Blue,FunPlus Phoenix,Invictus Gaming,Rumble,Pantheon,Ryze,Xayah,Rakan,Galio,Xin Zhao,Azir,Kalista,Renata Glasc,25,Map 1 - Totals,Under Total Kills,under,32.5,kills,05c978f255755afc9814,won,1.83,0,0,31.0,29.47,31,0,1,HIGH
LPL,2025,2025-06-04 06:00:00,FunPlus Phoenix vs Invictus Gaming,15.11,Blue,FunPlus Phoenix,Invictus Gaming,Gwen,Naafiri,Taliyah,Senna,Nautilus,Aurora,Vi,Sylas,Lucian,Braum,14,Map 2 - Totals,Under Total Kills,under,32.5,kills,05c978f255755afc9814,lost,1.83,0,0,42.0,33.5,42,1,2,HIGH
VCS,2025,2025-06-04 07:00:00,SN CyberCore Esports vs Saigon Secret,15.1,Blue,SN CyberCore Esports,Saigon Secret,Jayce,Poppy,Azir,Varus,Alistar,K'Sante,Xin Zhao,Ahri,Jhin,Rell,10,Map 1 - Totals,Under Total Kills,under,35.5,kills,a421d360a94dc8c90caa,won,1.83,0,0,28.0,31.95,28,1,1,HIGH
VCS,2025,2025-06-04 07:00:00,SN CyberCore Esports vs Saigon Secret,15.1,Blue,SN CyberCore Esports,Saigon Secret,Aurora,Kindred,Galio,Senna,Braum,Rumble,Vi,Orianna,Lucian,Milio,7,Map 2 - Totals,Under Total Kills,under,35.5,kills,a421d360a94dc8c90caa,won,1.83,0,0,24.0,33.1,24,1,2,HIGH
VCS,2025,2025-06-04 10:00:00,Mila Gaming vs GenZ Gaming,15.1,Blue,Mila Gaming,GenZ Gaming,Jayce,Vi,Ahri,Kai'Sa,Leona,Gwen,Xin Zhao,Sylas,Ezreal,Poppy,29,Map 1 - Totals,Over Total Kills,over,35.5,kills,2df1cd5e7102fcb6ffaf,won,1.83,0,0,46.0,26.18,46,0,1,HIGH
VCS,2025,2025-06-04 10:00:00,Mila Gaming vs GenZ Gaming,15.1,Blue,Mila Gaming,GenZ Gaming,Jax,Nocturne,Galio,Jhin,Neeko,Ambessa,Wukong,Ryze,Varus,Nautilus,33,Map 2 - Totals,Over Total Kills,over,35.5,kills,2df1cd5e7102fcb6ffaf,won,1.83,0,0,52.0,31.77,52,0,2,HIGH
LJL,2025,2025-06-04 10:00:00,QT DIG∞ vs Burning Core Toyama,15.11,Blue,QT DIG∞,Burning Core Toyama,Yorick,Xin Zhao,Ahri,Kai'Sa,Nautilus,Sion,Lee Sin,Ryze,Varus,Renata Glasc,20,Map 1 - Totals,Under Total Kills,under,34.5,kills,e3e43d858b3ae76694c3,won,1.83,0,0,31.0,30.7,31,0,1,HIGH
LCP,2025,2025-06-06 06:30:00,GAM Esports vs Team Secret Whales,15.1,Blue,GAM Esports,Team Secret Whales,Rumble,Maokai,Tristana,Senna,Nautilus,Ambessa,Vi,Taliyah,Kalista,Renata Glasc,12,Map 1 - Totals,Under Total Kills,under,25.5,kills,031a5cf1e821e7863e06,lost,1.9,0,0,32.0,40.68,32,1,1,HIGH
LCP,2025,2025-06-06 06:30:00,GAM Esports vs Team Secret Whales,15.1,Blue,GAM Esports,Team Secret Whales,Shen,Nocturne,Ahri,Kai'Sa,Neeko,Sion,Xin Zhao,Sylas,Xayah,Rakan,19,Map 2 - Totals,Under Total Kills,under,25.5,kills,031a5cf1e821e7863e06,lost,1.9,0,0,29.0,27.07,29,0,2,HIGH
LTA S,2025,2025-06-07 13:00:00,Vivo Keyd Stars vs Isurus Estral,15.11,Blue,Vivo Keyd Stars,Isurus Estral,Sion,Vi,Azir,Xayah,Rakan,Ambessa,Xin Zhao,Taliyah,Varus,Neeko,2,Map 1 - Totals,Under Total Kills,under,28.5,kills,b0f6c4808fb100f3acd6,won,1.83,0,0,20.0,30.98,20,1,1,HIGH
LTA S,2025,2025-06-07 13:00:00,Vivo Keyd Stars vs Isurus Estral,15.11,Blue,Vivo Keyd Stars,Isurus Estral,Rumble,Skarner,Viktor,Miss Fortune,Rell,K'Sante,Wukong,Ryze,Ezreal,Alistar,23,Map 2 - Totals,Under Total Kills,under,28.5,kills,b0f6c4808fb100f3acd6,lost,1.83,0,0,44.0,44.38,44,0,2,HIGH
LIT,2025,2025-07-14 14:00:00,Zena Esports vs GMBLERS Esports,15.13,Blue,Zena Esports,GMBLERS Esports,K'Sante,Trundle,Taliyah,Xayah,Leona,Gwen,Vi,Orianna,Corki,Braum,24,Map 1 - Totals,Over Total Kills,over,27.5,kills,c86e020353be2363fc6a,won,1.83,0,0,34.0,27.72,34,0,1,HIGH
ROL,2025,2025-07-15 14:00:00,A One Man Army vs Aurora,15.13,Blue,A One Man Army,Aurora,Rumble,Maokai,Tristana,Smolder,Rakan,Ornn,Vi,Viktor,Sivir,Rell,8,Map 1 - Totals,Over Total Kills,over,33.5,kills,ae0595bafc97c3f2905b,lost,1.83,0,0,23.0,29.65,23,1,1,HIGH
NLC,2025,2025-07-15 14:00:00,Lundqvist Lightside vs DMG Esports,15.13,Blue,Lundqvist Lightside,DMG Esports,K'Sante,Xin Zhao,Taliyah,Varus,Neeko,Fiora,Wukong,Annie,Sivir,Janna,4,Map 1 - Totals,Under Total Kills,under,34.5,kills,fe22fcc39b16b1425ac1,won,1.83,0,0,27.0,28.15,27,1,1,HIGH
NLC,2025,2025-07-15 15:00:00,Verdant vs Bulldog Esports,15.13,Blue,Verdant,Bulldog Esports,Yorick,Jarvan IV,Azir,Caitlyn,Leona,Renekton,Wukong,Aurora,Varus,Alistar,23,Map 1 - Totals,Under Total Kills,under,31.5,kills,5035aba729d091664f47,lost,1.83,0,0,38.0,43.48,38,0,1,HIGH
LIT,2025,2025-07-15 15:00:00,Zena Esports vs aNc Legends,15.13,Blue,Zena Esports,aNc Legends,K'Sante,Trundle,Taliyah,Jhin,Rell,Renekton,Jarvan IV,Aurora,Miss Fortune,Braum,14,Map 1 - Totals,Over Total Kills,over,29.5,kills,bd2fdf25e8cb18ff1dbc,won,1.83,0,0,32.0,28.83,32,1,1,HIGH
NLC,2025,2025-07-15 16:00:00,Lundqvist Lightside vs Los Ratones,15.13,Blue,Lundqvist Lightside,Los Ratones,Poppy,Trundle,Syndra,Jhin,Rakan,Sejuani,Viego,Akali,Varus,Nautilus,3,Map 1 - Totals,Under Total Kills,under,34.5,kills,f0448b772c10aedfce61,won,1.83,0,0,21.0,19.05,21,1,1,HIGH
PRM,2025,2025-07-16 13:00:00,Austrian Force willhaben vs E WIE EINFACH E-SPORTS,15.13,Blue,Austrian Force willhaben,E WIE EINFACH E-SPORTS,K'Sante,Jarvan IV,Azir,Lucian,Braum,Gnar,Wukong,Annie,Ezreal,Rell,15,Map 1 - Totals,Under Total Kills,under,33.5,kills,5c4bdbfc6f73ca1d1076,lost,1.83,0,0,35.0,38.58,35,1,1,HIGH
PRM,2025,2025-07-16 13:00:00,Austrian Force willhaben vs E WIE EINFACH E-SPORTS,15.13,Blue,Austrian Force willhaben,E WIE EINFACH E-SPORTS,Ornn,Pantheon,Orianna,Xayah,Rakan,Cho'Gath,Kindred,Syndra,Corki,Gragas,3,Map 2 - Totals,Under Total Kills,under,33.5,kills,5c4bdbfc6f73ca1d1076,won,1.83,0,0,21.0,37.28,21,1,2,HIGH
LVP SL,2025,2025-07-16 17:00:00,Los Heretics vs Veni Vidi Vici,15.13,Blue,Los Heretics,Veni Vidi Vici,Gwen,Wukong,Orianna,Jhin,Nautilus,Jayce,Maokai,Ryze,Varus,Braum,18,Map 1 - Totals,Over Total Kills,over,25.5,kills,8dc9e46f75588e474225,lost,1.83,0,0,24.0,22.13,24,0,1,HIGH
LVP SL,2025,2025-07-17 17:00:00,Veni Vidi Vici vs Ramboot Club,15.13,Blue,Veni Vidi Vici,Ramboot Club,Rumble,Xin Zhao,Azir,Varus,Rell,Jayce,Skarner,Ryze,Jhin,Poppy,27,Map 1 - Totals,Under Total Kills,under,32.5,kills,b4b7d5b78b122ed73e2c,lost,1.83,0,0,44.0,34.88,44,0,1,HIGH
NACL,2025,2025-07-17 21:00:00,Dorado Gaming vs Supernova,15.14,Blue,Dorado Gaming,Supernova,Sion,Wukong,Azir,Caitlyn,Braum,Rumble,Xin Zhao,Taliyah,Xayah,Rell,4,Map 1 - Totals,Over Total Kills,over,29.5,kills,604c4770a5db3ecd9de3,lost,1.83,0,0,21.0,29.33,21,1,1,HIGH
