league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LFL,BK ROG Esports,Karmine Corp Blue,Rumble,Viego,Ryze,Corki,Rell,Ornn,Wukong,Viktor,Aphelios,Nautilus,39,29.5
LCK,Dplus KIA,OKSavingsBank BRION,Aurora,Jarvan IV,Annie,Corki,Bard,Ambessa,Pantheon,Orianna,Sivir,Rell,28,29.5
LCK,Dplus KIA,OKSavingsBank BRION,Yorick,Wukong,Taliyah,Zeri,Rakan,Rumble,Trundle,Ahri,Jhin,Nautilus,25,29.5
LIT,Zena Esports,aNc Legends,Rumble,Pantheon,Orianna,Yunara,Alistar,Ambessa,Xin Zhao,Taliyah,Aphelios,Rell,29,33.5
LIT,Zena Esports,aNc Legends,Mordekaiser,Jarvan IV,Corki,Varus,Karma,Sion,Zac,Smolder,Jhin,Bard,37,33.5
LPL,Grow uP Esports,FlameHard,Sion,Poppy,Azir,Smolder,Nautilus,Cho'Gath,Wukong,Taliyah,Yunara,Lulu,40,32.5
LPL,Grow uP Esports,FlameHard,Aurora,Shaco,Orianna,Kai'Sa,Alistar,Ornn,Pantheon,Viktor,Xayah,Leona,46,32.5
LCK,BNK FearX,DRX,Rumble,Wukong,Ryze,Sivir,Neeko,Gwen,Xin Zhao,Orianna,Corki,Bard,28,32.5
LCK,BNK FearX,DRX,Jax,Pantheon,Akali,Xayah,Rakan,Ambessa,Jarvan IV,Taliyah,Lucian,Braum,30,32.5
LPL,Crusaders,GTZ Esports,Ambessa,Zyra,Syndra,Corki,Rakan,K'Sante,Xin Zhao,Orianna,Yunara,Leona,24,34.5
LPL,Crusaders,GTZ Esports,Sion,Sylas,Jayce,Tristana,Lulu,Gnar,Shaco,Hwei,Jhin,Rell,30,34.5
LPL,Rage Bait e-Sports,NORTHS FURY,Illaoi,Viego,Mel,Kai'Sa,Braum,Ornn,Skarner,Syndra,Sivir,Bard,47,35.5
LPL,Rage Bait e-Sports,NORTHS FURY,Sion,Maokai,Hwei,Jinx,Thresh,Camille,Rek'Sai,Neeko,Jhin,Nautilus,59,35.5
NLC,Los Ratones,Verdant,Cho'Gath,Wukong,Syndra,Xayah,Rakan,Ambessa,Pantheon,Taliyah,Corki,Bard,37,30.5
NLC,Los Ratones,Verdant,Renekton,Poppy,Orianna,Smolder,Alistar,Volibear,Jarvan IV,Galio,Jinx,Braum,34,30.5
TCL,Besiktas Esports,Dark Passage,K'Sante,Wukong,Orianna,Kai'Sa,Alistar,Mordekaiser,Pantheon,Taliyah,Xayah,Rell,34,29.5
TCL,Besiktas Esports,Dark Passage,Gnar,Qiyana,Ziggs,Yunara,Nautilus,Gragas,Lee Sin,Azir,Jinx,Leona,19,29.5
LCK,DRX,OKSavingsBank BRION,Gwen,Pantheon,Annie,Lucian,Braum,Ambessa,Jarvan IV,Orianna,Corki,Rakan,28,29.5
LCK,DRX,OKSavingsBank BRION,Rumble,Vi,Ahri,Zeri,Nautilus,Galio,Xin Zhao,Azir,Sivir,Leona,21,29.5
LPL,Team WE,EDward Gaming,Rumble,Vi,Aurora,Yunara,Rell,Ornn,Xin Zhao,Ryze,Kai'Sa,Neeko,40,30.5
LPL,Team WE,EDward Gaming,Yorick,Trundle,Taliyah,Varus,Leona,Jax,Jarvan IV,Ahri,Sivir,Nautilus,34,30.5
LPL,Diver,Crusaders,Sion,Nocturne,Neeko,Jinx,Rell,Ambessa,Trundle,Azir,Corki,Alistar,30,33.5
LPL,Diver,Crusaders,Rumble,Singed,Qiyana,Sivir,Yuumi,Jayce,Zyra,Galio,Jhin,Blitzcrank,31,33.5
LPL,Papo Secos,Leões Porto Salvo,Aatrox,Pantheon,Ryze,Kai'Sa,Nautilus,Fiora,Wukong,Aurora,Corki,Rell,40,35.5
LPL,Papo Secos,Leões Porto Salvo,Jax,Xin Zhao,Syndra,Varus,Zyra,Malphite,Vi,Ahri,Jinx,Lulu,36,35.5
LPL,Rage Bait e-Sports,Grow uP Esports,Dr. Mundo,Jarvan IV,Hwei,Zeri,Leona,Trundle,Maokai,Mel,Sivir,Thresh,50,38.5
LPL,Rage Bait e-Sports,Grow uP Esports,Cho'Gath,Wukong,Taliyah,Jinx,Rell,Renekton,Lillia,Galio,Jhin,Rakan,41,38.5
LCK,Hanwha Life Esports.Ch,Nongshim.EA,Ambessa,Vi,Orianna,Sivir,Alistar,Gwen,Xin Zhao,Ryze,Corki,Rakan,51,30.5
LCK,Hanwha Life Esports.Ch,Nongshim.EA,Rumble,Zed,Ahri,Varus,Neeko,Galio,Wukong,Akali,Jhin,Karma,25,30.5
LCK,Gen.G.GA,Nongshim.EA,K'Sante,Vi,Orianna,Corki,Alistar,Rumble,Xin Zhao,Galio,Sivir,Renata Glasc,22,31.5
LCK,Gen.G.GA,Nongshim.EA,Aatrox,Poppy,Taliyah,Kai'Sa,Neeko,Ambessa,Nocturne,Ahri,Lucian,Rakan,33,31.5
LCK,DN Freecs.Ch,Hanwha Life Esports.Ch,Ambessa,Xin Zhao,Orianna,Xayah,Rakan,Sion,Wukong,Annie,Corki,Neeko,32,30.5
LCK,DN Freecs.Ch,Hanwha Life Esports.Ch,Rumble,Jarvan IV,Ryze,Zeri,Lulu,Galio,Nocturne,Aurora,Sivir,Alistar,55,30.5
EBL,Crvena Zvezda,Lenovo Legion Honved,Sion,Pantheon,Morgana,Yunara,Rell,Ambessa,Wukong,Taliyah,Corki,Alistar,36,41.5
EBL,Crvena Zvezda,Lenovo Legion Honved,Aatrox,Jarvan IV,Ryze,Varus,Nautilus,Renekton,Vi,LeBlanc,Sivir,Thresh,41,41.5
LFL,Vitality.Bee,BK ROG Esports,Rumble,Jarvan IV,Galio,Yunara,Rell,Ambessa,Trundle,Orianna,Kai'Sa,Rakan,17,31.5
LFL,Vitality.Bee,BK ROG Esports,Aatrox,Qiyana,LeBlanc,Varus,Neeko,Renekton,Poppy,Taliyah,Sivir,Nautilus,22,31.5
EBL,Partizan Sangal,SPIKE Syndicate,Aatrox,Vi,Orianna,Kai'Sa,Rakan,Sion,Wukong,Galio,Corki,Alistar,15,33.5
EBL,Partizan Sangal,SPIKE Syndicate,Ornn,Nautilus,Azir,Zeri,Milio,Jayce,Maokai,Yone,Tristana,Rell,24,33.5
LPL,FlameHard,GTZ Esports,K'Sante,Vi,Orianna,Smolder,Rell,Sion,Trundle,Hwei,Yunara,Alistar,22,35.5
LPL,FlameHard,GTZ Esports,Aurora,Lillia,Jayce,Senna,Bard,Rumble,Wukong,Syndra,Ezreal,Rakan,26,35.5
NACL,Conviction,Luminosity Gaming,Rumble,Vi,Kog'Maw,Ezreal,Rakan,Ornn,Poppy,Orianna,Corki,Nami,30,28.5
NACL,Conviction,Luminosity Gaming,Jax,Sejuani,Azir,Senna,Nautilus,Gragas,Skarner,Ziggs,Yunara,Rell,22,28.5
EBL,Lenovo Legion Honved,SPIKE Syndicate,Ornn,Kha'Zix,Neeko,Corki,Leona,Rumble,Trundle,Morgana,Miss Fortune,Rakan,30,37.5
LCK,Nongshim RedForce,Dplus KIA,Ambessa,Pantheon,Akali,Corki,Neeko,Rumble,Jarvan IV,Orianna,Ezreal,Karma,36,29.5
LCK,Nongshim RedForce,Dplus KIA,Yorick,Xin Zhao,Annie,Sivir,Alistar,Aurora,Lee Sin,Ryze,Zeri,Rakan,29,29.5
LPL,Anyone's Legend,Weibo Gaming,Sion,Poppy,Orianna,Sivir,Lulu,Gwen,Wukong,Taliyah,Yunara,Leona,22,29.5
LPL,Anyone's Legend,Weibo Gaming,Renekton,Qiyana,Annie,Xayah,Rakan,Ornn,Zed,Galio,Kai'Sa,Alistar,32,29.5
LEC,Movistar KOI,Fnatic,Varus,Xin Zhao,Galio,Xayah,Rakan,Aurora,Wukong,Orianna,Sivir,Rell,32,25.5
LEC,Movistar KOI,Fnatic,Akali,Pantheon,Yone,Tristana,Alistar,Gwen,Vi,Corki,Kai'Sa,Neeko,30,25.5
LCK,T1,Dplus KIA,Aatrox,Pantheon,Galio,Jhin,Neeko,Ambessa,Jarvan IV,Orianna,Ezreal,Bard,24,28.5
LCK,T1,Dplus KIA,Jax,Wukong,Ryze,Corki,Rell,K'Sante,Qiyana,Twisted Fate,Yunara,Alistar,25,28.5
LFL,Gentle Mates,Vitality.Bee,Rumble,Jarvan IV,Annie,Xayah,Rakan,Varus,Pantheon,Galio,Corki,Rell,25,29.5
LFL,Gentle Mates,Vitality.Bee,Sion,Wukong,Syndra,Senna,Braum,Yorick,Xin Zhao,Ryze,Kai'Sa,Alistar,32,29.5
