league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
PRM,Austrian Force willhaben,E WIE EINFACH E-SPORTS,K'Sante,Jarvan IV,Azir,Lucian,Braum,Gnar,Wukong,Annie,Ezreal,Rell,35,33.5
PRM,Austrian Force willhaben,E WIE EINFACH E-SPORTS,Ornn,Pantheon,Orianna,Xayah,Rakan,Cho'Gath,Kindred,Syndra,Corki,Gragas,21,33.5
LVP SL,Los Heretics,Veni Vidi Vici,Gwen,Wukong,Orianna,Jhin,Nautilus,Jayce,Maokai,Ryze,Varus,Braum,24,25.5
LVP SL,Veni Vidi Vici,Ramboot Club,Rumble,Xin Zhao,Azir,Varus,Rell,Jayce,Skarner,Ryze,Jhin,Poppy,44,32.5
NACL,Dorado Gaming,Supernova,Sion,Wukong,Azir,Caitlyn,Braum,Rumble,Xin Zhao,Taliyah,Xayah,Rell,21,29.5
NACL,Supernova,CCG Esports,Sion,Xin Zhao,Orianna,Aphelios,Lulu,Aatrox,Wukong,Taliyah,Lucian,Nami,28,29.5
LPL,Weibo Gaming,FunPlus Phoenix,Jayce,Pantheon,Orianna,Xayah,Rakan,Gwen,Xin Zhao,Taliyah,Ezreal,Nautilus,14,30.5
LPL,Weibo Gaming,FunPlus Phoenix,Rumble,Sejuani,Yone,Lucian,Taric,Ambessa,Wukong,Aurora,Sivir,Leona,26,30.5
VCS,Saigon Dino,Never Give Up,Sion,Trundle,Azir,Senna,Tahm Kench,Ambessa,Lee Sin,Taliyah,Sivir,Alistar,13,33.5
VCS,Saigon Dino,Never Give Up,K'Sante,Naafiri,Ryze,Ezreal,Poppy,Gnar,Wukong,Annie,Kai'Sa,Rakan,33,33.5
HLL,Actions Per Minute,Team Paradox,Ornn,Naafiri,Taliyah,Varus,Rakan,K'Sante,Nocturne,Hwei,Jhin,Rell,34,35.5
HLL,Actions Per Minute,Team Paradox,Renekton,Wukong,Aurora,Corki,Leona,Shen,Xin Zhao,Azir,Senna,Nautilus,36,35.5
PRM,ROSSMANN Centaurs,Berlin International Gaming,Renekton,Nocturne,Orianna,Ashe,Renata Glasc,K'Sante,Vi,Azir,Xayah,Milio,27,33.5
PRM,ROSSMANN Centaurs,Berlin International Gaming,Aatrox,Wukong,Annie,Corki,Braum,Ambessa,Trundle,Viktor,Jhin,Rell,31,33.5
AL,Dragons Esports,Fox Gaming,Aatrox,Xin Zhao,Ahri,Xayah,Rakan,Rumble,Wukong,Orianna,Lucian,Renata Glasc,43,35.5
AL,Dragons Esports,Fox Gaming,Ambessa,Poppy,Viktor,Corki,Neeko,Jax,Vi,Aurora,Aphelios,Bard,28,35.5
PRM,Eintracht Spandau,TeamOrangeGaming,Rumble,Xin Zhao,Azir,Jhin,Rell,K'Sante,Vi,Kog'Maw,Ezreal,Rakan,43,33.5
PRM,Eintracht Spandau,TeamOrangeGaming,Gwen,Jarvan IV,Orianna,Sivir,Alistar,Ambessa,Naafiri,Hwei,Corki,Leona,28,33.5
