total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won,profit,prob_under
25,28.83148148148148,LCK,31.92622950819672,30.83739837398374,over,30.5,lost,1.83,25.0,0.0,0.0,1.0984264443831435,-0.7760435577368519,0.6655385399034301,0.0,0.0,-0.8113044475574895,0.0,-0.6816806276591585,0,-1.0,0.4659250375460218
44,33.15511551155115,PRM,32.39622641509434,37.073170731707314,over,32.5,won,1.83,44.0,0.5609560677137821,0.0,0.0,0.0,0.6655385399034301,-1.0617142411045393,-0.913098065074376,0.5231029362444133,0.4654990225793156,4.1582595287502215,1,0.8300000000000001,0.23700465480229596
41,33.15511551155115,PRM,32.39622641509434,37.073170731707314,over,32.5,won,1.83,41.0,-1.155716943849221,0.0,1.0984264443831435,-0.6320467219229506,-0.6263770292967372,0.0,0.7520050888007717,0.9020397066897204,-1.1261807448375052,1.7827561319782248,1,0.8300000000000001,0.3536263059925385
33,30.12878787878788,LVP SL,29.692307692307693,30.25925925925926,over,32.5,won,1.83,33.0,0.0,0.0,0.0,0.0,0.0,0.6655385399034301,-0.913098065074376,-1.2403757694101287,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.5516564392268372
23,33.15511551155115,PRM,30.884615384615383,32.787234042553195,under,32.5,won,1.83,23.0,0.0,1.2452748960137257,0.0,0.0,0.6655385399034301,0.0,-0.913098065074376,0.0,-1.842584791571916,-0.6816806276591585,1,0.8300000000000001,0.5303385774704942
30,33.15511551155115,PRM,30.884615384615383,32.787234042553195,under,32.5,won,1.83,30.0,0.0,-1.155716943849221,-0.7760435577368519,0.8434335133614894,-1.9393307422504515,0.0,0.7520050888007717,-0.8113044475574895,-0.9659723665617116,-1.1261807448375052,1,0.8300000000000001,0.623347845055651
28,31.37037037037037,CD,30.115384615384617,28.08695652173913,under,27.5,lost,1.83,28.0,0.0,0.0,0.0,-1.0332368361565436,0.0,0.6655385399034301,0.0,-0.468056459937813,1.7827561319782248,0.4654990225793156,0,-1.0,0.44578829856039126
29,30.07286432160804,LPL,31.208695652173912,31.733766233766232,under,31.5,won,1.83,29.0,-1.155716943849221,0.0,-0.7760435577368519,0.0,-1.0617142411045393,0.6655385399034301,0.0,0.0,-0.6816806276591585,-0.9659723665617116,1,0.8300000000000001,0.6169873211587804
30,30.07286432160804,LPL,31.208695652173912,31.733766233766232,under,31.5,won,1.83,30.0,0.5609560677137821,0.0,0.0,-0.6320467219229506,0.0,1.2815801036603958,-0.913098065074376,-0.8113044475574895,-1.1261807448375052,-1.057365285027263,1,0.8300000000000001,0.5442629710498896
25,35.46153846153846,HLL,33.76712328767123,35.36538461538461,under,36.5,won,1.83,25.0,0.5609560677137821,0.0,0.0,-0.6320467219229506,0.0,-1.0617142411045393,-0.468056459937813,0.7520050888007717,0.4654990225793156,-0.6816806276591585,1,0.8300000000000001,0.4439251473006499
